Title,Source,Sentiment,Time,Author,Link
A top Chinese economist just said what many people suspected: China's official GDP numbers may not be accurate,Business Insider,neutral,Yesterday,Huileng Tan,https://news.google.com/read/CBMirgFBVV95cUxNNVpGRTQ5OUppRkVUSU53UEpjX0pCa1NTaWdQTWJSN2c0U3huOWNGRUpqR3hJamc5UU9CT1VsdDltS05vaGk2ekhJVGZobnIwSlhaVlNmVzB3VmEycE9wTGVmY0N5M0FvdkFsQUVhUGpVNGItSHUwcjRqM2NUUkpRTW40N2g3Z3lUZW0yZ0RiaWJCNUJnMzFQUkNGV08tYzM1VmNyZENKZUFXQjI0Nmc?hl=en-US&gl=US&ceid=US%3Aen
What a censored speech says about China’s economy,The Economist,negative,2 days ago,Missing,https://news.google.com/read/CBMiqwFBVV95cUxOTnF1eVMtd0lwalI3cDJUaFpUMzBDU05hNmNneFE2MzV5Z0NmQ1NvbXhnQjhqSDZMY2J3Q0hLQzBGLWJVMGZTelVJaVVZRnVjV3hxRmlJVWxuSzAzN2U4dXNCcXc3Q044THRabkdWTmpvU0tDVlpGSHlUaFpnZUV3dWI1V21weG1WNlJLSFNSQ0NxUVQyejdVZ3FIQ1pEc01QcEZ6c1N1RUNDS00?hl=en-US&gl=US&ceid=US%3Aen
China Pledges More Stimulus to Shore Up Flagging Economy,The New York Times,neutral,2 days ago,John Liu & Meaghan Tobin,https://news.google.com/read/CBMihAFBVV95cUxPRHMwbWVFTGtOdEhlTU1YWXAzQWpRVkxwenBoTTNFZTAyWXVVZTdZbmUxTjk3OE1QNDJrY0pyTUNOOEk3Z3ladkhwRVB6UlNZX3ZWNmU2dHlpbktMS3BCaVRlRWdRNmVRM3V1ekNlWTN2bUdkZkpWSlhpUVhsbTdTS3BmNkQ?hl=en-US&gl=US&ceid=US%3Aen
China signals it’s prepared to double down on support for the economy as Trump tariffs loom,The Associated Press,negative,Yesterday,Elaine Kurtenbach,https://news.google.com/read/CBMinwFBVV95cUxNczlDSFJQcHM5dEhoR1RzZ1EtUF9tdmk3NXZxbzktRHFJMUtHZUVGdU5GVEp5bUdrMGtJOUFjWmpaRmpZSDFFQU54Wk4zRVBqMEsteGlIajZ3ODBVVXlidV85Q0tidDFnNmp0eG9Sd3J5WUpSakJFQmFYaFlhQmM4b3pNSWtNS3JqdWNFVEtSVF9ic2tOUWlMUmJOekJLRlE?hl=en-US&gl=US&ceid=US%3Aen
Why China’s ‘Autocracy 2.0’ May Soon Start to Wane,Bloomberg,neutral,1 hour ago,Missing,https://news.google.com/read/CBMivAFBVV95cUxQcGtucUpzTlduaXp6ZDZDV1h3N2hOakRIMDRXcjRJNGFONGhId2hBWnJrbG1XZEdoSi0yQ3Q2bE9nQ1hDRDJtTmhRM3pUMlc0X2h0NmJkYlE4VkN1cTVkeXVKVFhWd2hLVkY3cTMwX3RSZ0VjVXJtZy1WMFpleUhFbW9NdS0tNHJwM3ZsaVk5Z09NVkUwX3VVOV9Hd3FrZ1lDb1Y5Z0I2TXBDY1NUbEJ0cXNEYXU2eENCS2poMw?hl=en-US&gl=US&ceid=US%3Aen
"China's monetary shift signals economic worries, but 'bazooka-style' stimulus is unlikely, experts say",CNBC,neutral,3 days ago,Missing,https://news.google.com/read/CBMitgFBVV95cUxPN0hSWF82cG9TdHFSTTUzMDlVa0lpTjE3eVZ0c2FKNGs1RlIzdG1rbGtnbDBRVjFfdm1XUmhRS3NaM21NdUJCX25ieHotVGgtNDFxTWh0Zmt6TUhfVXBWVnZOM3VSMmVBdGVkaDFUQ19DM2Y3U1o1MmxNa2xmUVIwaGdzaFBta2twSVQxMFZuX3lZMjhEbnRnVk9EYzd3R2psRGczSXBzelVadm12ZW9iYktaWDhJZ9IBuwFBVV95cUxQRjRMNlk0THhfYjlhRWpwS3ZHb25TdDFpcTRaTjltUVFyN2d0NzhnR3pqTF9zN3F0N2tBWUhRT3ltemZYamE4ZUdxQ3VoQWRWUURaTXRndTlkTVo2M3Q2ZFpKTWVLZHdtdHlZZkF4aWNLV1l6NzdobnplUC1vbkMtTi1wSE5iRk83UnRvcjg3eDJWQjExLWtySHZCam9HWW5UdXFTWlJ0MW5oZEVOUlpTNmdUVVFoVGhEMjZj?hl=en-US&gl=US&ceid=US%3Aen
"Chinese Arctic Research Expeditions Inform Military, Economic Goals, Say Experts",USNI News,neutral,2 days ago,John Grady,https://news.google.com/read/CBMisAFBVV95cUxPVUxUaHJjOW1HYWtkRF9ic0xYTDlVdUlWNE1zTzBPQVlGb2FWb1hkNFpfVFRZLWNZaWlKbTAteGFxOGltV2ZkZTRqb1RJRnpnMG9aX2ZOd2pKY054M2dlRVdoUFJhUnhGZFVsNUlFaXdocDI1TGhrc2dELU1vb3ZmRVRvRF9fc1l0XzFEUEdvOWZ6T3dWSEpOTzduREh6UzZGeHlHalNDd0FtamtONWl2Ug?hl=en-US&gl=US&ceid=US%3Aen
Where the China-Russia Partnership Is Headed in Seven Charts and Maps,Council on Foreign Relations,neutral,2 days ago,Clara Fong,https://news.google.com/read/CBMikAFBVV95cUxQM24wUHlWY21PSjFLcmlqZUVwNzVnZzNuVDJWQ2FHYUpieGpwV3h3SHVtVGc1TW5maFpmRjh0aVotN1BmZ3dwVjNVdEpYZEV0Y3c3VjVtR0VFVlcyaWJ5ZHV2OE1qbXUtZmhjQUlmNHJvRDI3Ni02R3JxckhUS1BSUEVNdnVGblRpUVB3b3dfcUg?hl=en-US&gl=US&ceid=US%3Aen
Chinese stocks fall after key economic conference disappoints,Nikkei Asia,negative,Yesterday,Echo Wong & Wataru Suzuki,https://news.google.com/read/CBMimAFBVV95cUxOc3cwVk1LR3NvV3U2MjBGRHRtbEMzZFRDcmRfN3B5QjlBeFNqb0pCcHFWMmV5ZFZxclVOWFp4bmRYbFF3cmltYjVqcFRZSnFiRVZMQTFWVEV5Y21BUUFWQUxkeVBxQWhMVmxvVmpQZXJZcl9HZ19XdmVvclM1OGI0dEd5b1ZpQmpqdi1lVFg1ekJoUGFHUThVZA?hl=en-US&gl=US&ceid=US%3Aen
China Economy Forecast to Maintain Growth as Stimulus Kicks In,Bloomberg,neutral,Yesterday,Missing,https://news.google.com/read/CBMiswFBVV95cUxPQ3c3SU9OSzlReWtLTFJ0Rmc2QjJ5eklCZDdFM3ZxNThRWVlzaVhLRnNIWGNmaTJRZVZULVpvQUVLRTc4YmdvTTdUaG9PaVB6Sjlsb3V4NTI2c2plbHJPZldSWkVXUFFFcjhEcG5VWnlMUHdrMEg4WjlYWV9mcWFQckZOQUZxaEotRFdEUW05NlFxWWF1R3VYYVhNd1NCSmI4Ym1YcHFRVFFQdHpKRUlYbDBzSQ?hl=en-US&gl=US&ceid=US%3Aen
